# retval|input|expected_output|expected_err|||args

#************************JOEL'S TESTS*********************************

#bad number of params
1|empty|empty|usage.err|||
1|empty|empty|usage.err|||missing.map 
1|empty|empty|usage.err|||missing.map 10

#invalid maxsteps
2|empty|empty|maxsteps.err|||missing.map 0 agent.ag

#can't open map file
3|empty|empty|omap.err|||missing.map 10 agent.ag

#CORRUPT ARGUMENTS TESTS
#not enough lines
4|empty|empty|map.err|||JacksonTests/bad1.map 10 JacksonTests/agent.ag
# bad second int
4|empty|empty|map.err|||JacksonTests/bad2.map 10 JacksonTests/agent.ag
# invalid char for handler
4|empty|empty|map.err|||JacksonTests/bad3.map 10 JacksonTests/agent.ag
# short line
4|empty|empty|map.err|||JacksonTests/bad4.map 10 JacksonTests/agent.ag

#missing agent file
5|empty|empty|oag.err|||JacksonTests/ok.map 10 JacksonTests/missing.ag

#Corrupt agent file
6|empty|empty|ag.err|||JacksonTests/ok.map 10 JacksonTests/empty
6|empty|empty|ag.err|||JacksonTests/ok.map 10 JacksonTests/onlycomment.ag

#failed to start an agent
7|empty|empty|sag.err|||JacksonTests/ok.map 10 JacksonTests/badstart.ag
7|empty|empty|sag.err|||JacksonTests/ok.map 10 JacksonTests/badstart2.ag

#ran an agent which didn't meet dependencies
7|empty|empty|runag.err|||JacksonTests/ok.map 10 JacksonTests/faildeps.ag




#AGENTS TESTS
#test fromfile raw
0|ffraw1.in|ffraw1.out|empty|||!./fromfile JacksonTests/ff1.ain
4|ffraw2.in|ffraw2.out|empty|||!./fromfile JacksonTests/ff22.ain
1|empty|cparcount.err|empty|||!./fromfile
2|empty|cparval.err|empty|||!./fromfile JacksonTests/missing


#test fromfile intergrated
0|empty|ffout1|empty|||JacksonTests/ok.map 40 JacksonTests/ff1.ag
9|empty|ffout2|collideW.err|||JacksonTests/map2.map 40 JacksonTests/ff2.ag

#test simple raw
4|siraw1.in|siraw1.out|empty|||!./simple W
2|siraw1.in|cparval.err|empty|||!./simple J
1|empty|cparcount.err|empty|||!./simple

#simple integrated
0|empty|si1.out|empty|||JacksonTests/map1.map 40 JacksonTests/si1.ag
0|empty|si5.out|empty|||JacksonTests/map1.map 30 JacksonTests/si5.ag



#slow integrated
8|empty|sl1.out|sl1.err|||JacksonTests/split1.map 30 JacksonTests/sl1.ag



#slow2 integrated
0|empty|sl2i.out|empty|||JacksonTests/split2.map 30 JacksonTests/s21.ag
10|empty|sl2i2.out|steps.err|||JacksonTests/split2.map 10 JacksonTests/s21.ag

#waller integrated
10|empty|w1.out|steps.err|||JacksonTests/map1.map 30 JacksonTests/w1.ag
